state,grade,standard_id,standard_text
PA,1,1.B.1,Extend the counting sequence to read and write numerals to represent objects.
PA,1,1.B.2,Use place-value concepts to represent amounts of tens and ones and to compare two-digit numbers.
PA,2,2.B.1,Use place-value concepts to represent amounts of tens and ones and to compare three-digit numbers.
PA,2,2.B.2,"Use place-value concepts to read, write, and skip count to 1,000."
PA,2,2.B.3,"Use place-value understanding and properties of operations to add and subtract within 1,000."
PA,3,3.B.1,Apply place-value understanding and properties of operations to perform multi-digit arithmetic.
PA,3,3.C.1,Explore and develop an understanding of fractions as numbers.
PA,4,4.B.2,Use place-value understanding and properties of operations to perform multi-digit arithmetic.
PA,4,4.C.1,Extend the understanding of fractions to show equivalence and ordering.
PA,4,4.C.2,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.
PA,5,5.B.1,Apply place-value concepts to show an understanding of operations and rounding as they pertain to whole numbers and decimals.
PA,5,5.B.2,Extend an understanding of operations with whole numbers to perform operations including decimals.
PA,5,5.C.2,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.
PA,6,6.D.1,Understand ratio concepts and use ratio reasoning to solve problems.
PA,6,6.E.2,Identify and choose appropriate processes to compute fluently with multi-digit numbers.
PA,6,6.E.3,Develop and/or apply number theory concepts to find common factors and multiples.
PA,6,6.E.4,Apply and extend previous understandings of numbers to the system of rational numbers.
PA,7,7.D.1,Analyze proportional relationships and use them to model and solve real-world and mathematical problems.
PA,7,7.E.1,Apply and extend previous understandings of operations with fractions to operations with rational numbers.
PA,8,8.E.1,Distinguish between rational and irrational numbers using their properties.
PA,8,8.E.4,Estimate irrational numbers by comparing them to rational numbers.
PA,K,K.A.1,Know number names and write and recite the count sequence.
PA,K,K.A.2,Apply one-to-one correspondence to count the number of objects.
PA,K,K.A.3,Apply the concept of magnitude to compare numbers and quantities.
PA,K,K.B.1,Use place value to compose and decompose numbers within 19.
PA,1,1.A.1,Represent and solve problems involving addition and subtraction within 20.
PA,1,1.A.2,Understand and apply properties of operations and the relationship between addition and subtraction.
PA,2,2.A.1,Represent and solve problems involving addition and subtraction within 100.
PA,2,2.A.2,Use mental strategies to add and subtract within 20.
PA,2,2.A.3,Work with equal groups of objects to gain foundations for multiplication.
PA,3,3.A.1,Represent and solve problems involving multiplication and division.
PA,3,3.A.2,Understand properties of multiplication and the relationship between multiplication and division.
PA,3,3.A.3,Demonstrate multiplication and division fluency.
PA,3,3.A.4,"Solve problems involving the four operations, and identify and explain patterns in arithmetic."
PA,4,4.A.1,Represent and solve problems involving the four operations.
PA,4,4.A.2,Develop and/or apply number theory concepts to find factors and multiples.
PA,4,4.A.4,Generate and analyze patterns using one rule.
PA,5,5.A.1,Interpret and evaluate numerical expressions using order of operations.
PA,5,5.A.4,Analyze patterns and relationships using two rules.
PA,6,6.B.1,Apply and extend previous understandings of arithmetic to algebraic expressions.
PA,6,6.B.2,Understand the process of solving a one-variable equation or inequality and apply it to real-world and mathematical problems.
PA,7,7.B.1,Apply properties of operations to generate equivalent expressions.
PA,7,7.B.3,"Model and solve real-world and mathematical problems by using and connecting numerical, algebraic, and/or graphical representations."
PA,8,8.B.1,Apply concepts of radicals and integer exponents to generate equivalent expressions.
PA,8,8.B.2,"Understand the connections between proportional relationships, lines, and linear equations."
PA,8,8.C.1,"Define, evaluate, and compare functions."
PA,8,8.C.2,Use concepts of functions to model relationships between quantities.
PA,K,K.A.1,Extend the concepts of putting together and taking apart to add and subtract within 10.
PA,1,1.A.2,Use the understanding of fractions to partition shapes into halves and quarters.
PA,2,2.A.1,Analyze and draw two- and three-dimensional shapes having specified attributes.
PA,2,2.A.2,"Use the understanding of fractions to partition shapes into halves, quarters, and thirds."
PA,3,3.A.1,"Identify, compare, and classify shapes and their attributes."
PA,4,4.A.1,Draw lines and angles and identify these in two-dimensional figures.
PA,4,4.A.2,Classify two-dimensional figures by properties of their lines and angles.
PA,4,4.A.3,Recognize symmetric shapes and draw lines of symmetry.
PA,5,5.A.1,Graph points in the first quadrant on the coordinate plane and interpret these points when solving real-world and mathematical problems.
PA,5,5.A.2,Classify two-dimensional figures into categories based on an understanding of their properties.
PA,7,7.A.1,"Solve real-world and mathematical problems involving angle measure, area, surface area, circumference, and volume."
PA,7,7.A.2,Visualize and represent geometric figures and describe the relationships between them.
PA,8,8.A.3,Understand and apply the Pythagorean Theorem to solve problems.
PA,K,K.A.1,Identify and describe two- and three-dimensional shapes.
PA,K,K.A.2,"Analyze, compare, create, and compose two- and three-dimensional shapes."
PA,1,1.A.1,Order lengths and measure them both indirectly and by repeating length units.
PA,1,1.A.2,Tell and write time to the nearest half hour using both analog and digital clocks.
PA,1,1.A.4,Represent and interpret data using tables/charts.
PA,2,2.A.1,Measure and estimate lengths in standard units using appropriate tools.
PA,2,2.A.2,Tell and write time to the nearest five minutes using both analog and digital clocks.
PA,2,2.A.4,"Represent and interpret data using line plots, picture graphs, and bar graphs."
PA,2,2.A.6,Extend the concepts of addition and subtraction to problems involving length.
PA,3,3.A.2,Tell and write time to the nearest minute and solve problems by calculating time intervals.
PA,3,3.A.3,Solve problems and make change involving money using a combination of coins and bills.
PA,3,3.A.4,"Represent and interpret data using tally charts, tables, pictographs, line plots, and bar graphs."
PA,3,3.A.6,Solve problems involving perimeters of polygons and distinguish between linear and area measures.
PA,4,4.A.1,Solve problems involving measurement and conversions from a larger unit to a smaller unit.
PA,4,4.A.2,Translate information from one type of data display to another.
PA,4,4.A.4,Represent and interpret data involving fractions using information provided in a line plot.
PA,5,5.A.1,Solve problems using conversions within a given measurement system.
PA,8,8.B.1,Analyze and/or interpret bivariate data displayed in multiple representations.
PA,K,K.A.1,"Describe and compare attributes of length, area, weight, and capacity of everyday objects."
PA,K,K.A.4,Classify objects and count the number of objects in each category.
PA,1,1.B.3,Use place-value concepts and properties of operations to add and subtract within 100.
PA,4,4.B.1,Apply place-value concepts to show an understanding of multi-digit whole numbers.
PA,4,4.C.3,"Connect decimal notation to fractions, and compare decimal fractions (base 10 denominator, e.g., )."
PA,5,5.C.1,Use the understanding of equivalency to add and subtract fractions.
PA,6,6.E.1,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.
PA,6,6.B.3,Represent and analyze quantitative relationships between dependent and independent variables.
PA,8,8.B.3,Analyze and solve linear equations and pairs of simultaneous linear equations.
PA,1,1.A.1,Compose and distinguish between two- and three-dimensional shapes based on their attributes.
PA,3,3.A.2,Use the understanding of fractions to partition shapes into parts with equal areas and express the area of each part as a unit fraction of the whole.
PA,6,6.A.1,"Apply appropriate tools to solve real-world and mathematical problems involving area, surface area, and volume."
PA,8,8.A.1,"Apply the concepts of volume of cylinders, cones, and spheres to solve real-world and mathematical problems."
PA,8,8.A.2,"Understand and apply congruence, similarity, and geometric transformations using various tools."
PA,2,2.A.3,Solve problems and make change using coins and paper currency with appropriate symbols.
PA,3,3.A.1,"Solve problems involving measurement and estimation of temperature, liquid volume, mass, and length."
PA,3,3.A.5,Determine the area of a rectangle and apply the concept to multiplication and to addition.
PA,4,4.A.6,Measure angles and use properties of adjacent angles to solve problems.
PA,5,5.A.2,Represent and interpret data using appropriate scale.
PA,5,5.A.4,Solve problems involving computation of fractions using information provided in a line plot.
PA,5,5.A.5,Apply concepts of volume to solve problems and relate volume to multiplication and to addition.
PA,6,6.B.1,"Demonstrate an understanding of statistical variability by displaying, analyzing, and summarizing distributions."
PA,7,7.B.1,Draw inferences about populations based on random sampling concepts.
PA,7,7.B.2,Draw informal comparative inferences about two populations.
PA,7,7.B.3,"Investigate chance processes and develop, use, and evaluate probability models."
PA,8,8.B.2,Understand that patterns of association can be seen in bivariate data utilizing frequencies.
NE,1,1.D.1.a,"Collect, organize, and represent a data set with up to three categories using a picture graph."
NE,1,1.D.2.a,"Ask and answer questions about the total number of data points, how many in each category, and compare categories by identifying how many more or less are in a particular category using a picture graph."
NE,1,1.G.1.a,"Determine geometric attributes of two-dimensional shapes regardless of orientation or size for rhombi, trapezoids, and hexagons (e.g., a hexagon is closed with six sides)."
NE,1,1.G.1.b,"Determine geometric attributes of three-dimensional shapes including cones, cylinders, cubes, and rectangular prisms regardless of orientation or size."
NE,1,1.G.1.c,Describe lines and sides of shapes as parallel or non-parallel.
NE,1,1.G.1.d,Partition circles and rectangles into two and four equal parts using the language halves and fourths.
NE,1,1.G.2.a,"Measure the length of an object as a whole number of same-size, non-standard units by placing them end to end."
NE,1,1.G.2.b,Order three objects by directly comparing their lengths or indirectly by using a third object.
NE,1,1.G.3.c,Tell and write time to the half hour and hour using analog and digital clocks.
NE,1,1.N.1.a,"Without counting, recognize and verbally label arrangements for briefly shown collections up to 20 (e.g.,” I saw 16.” “How did you know?” “I saw 10 and 6, that is 16”)."
NE,1,1.N.2.a,Count verbally by ones and tens within 120 starting at any given number.
NE,1,1.N.2.b,"Count verbally by ones and tens within 120 starting at any given number. Understand that the given number is a direct representation of the total objects in a given set and counting on each successive number represents adding an additional object, and counting back each proceeding number represents removing an object."
NE,1,1.N.2.c,Write numerals to match a representation of a given set of objects for numbers up to 120.
NE,1,1.N.3.a,"Understand 10 as a bundle, collection, or (more abstractly) composition of ten ones and that the two digits of a two-digit number represent a composition of some tens and some ones."
NE,1,1.N.3.b,"Compare two, two-digit numbers using words greater than, less than, equal to, and symbols <, >, =. Justify comparisons based on the number of tens and ones."
NE,1,1.N.4.a,"Add and subtract within 20, using flexible strategies such as counting on or counting back, making ten, using ten, and using doubles and near doubles."
NE,1,1.N.4.b,"Efficiently, flexibly, and accurately add and subtract within 10."
NE,1,1.N.4.c,"Find the difference between two numbers that are multiples of 10, ranging from 10 to 90 using concrete models, drawings, or strategies, and write the corresponding equation."
NE,1,1.N.4.d,Mentally find 10 more or 10 less than a two-digit number without having to count and explain the reasoning used.
NE,1,1.N.5.a,"Use the meaning of the equal sign to determine if equations are true and give examples of equations that are true (e.g., 4 = 4, 6 = 7 – 1, 6 + 3 = 3 + 6, 7 + 2 = 5 + 4)."
